Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
3.650E-07,5.442E-19,3.026E-02,2.747E-02,2.909E-02,2.890E-02,2.305E-02,1.209E-02,8.568E-03,4.551E-03,7.342E-03
3.660E-07,5.427E-19,3.021E-02,2.788E-02,3.006E-02,2.931E-02,2.484E-02,1.436E-02,1.022E-02,5.497E-03,1.214E-02
3.670E-07,5.413E-19,3.016E-02,2.706E-02,3.032E-02,2.863E-02,2.542E-02,1.515E-02,1.022E-02,4.714E-03,4.378E-03
3.680E-07,5.398E-19,2.992E-02,2.700E-02,2.866E-02,2.870E-02,2.360E-02,1.226E-02,8.561E-03,4.120E-03,8.672E-03
3.690E-07,5.383E-19,2.996E-02,2.632E-02,3.003E-02,2.903E-02,2.408E-02,1.299E-02,8.874E-03,4.616E-03,2.118E-03
3.700E-07,5.369E-19,3.061E-02,2.702E-02,2.971E-02,2.797E-02,2.439E-02,1.335E-02,8.721E-03,4.411E-03,2.071E-03
3.710E-07,5.354E-19,3.095E-02,2.761E-02,3.035E-02,2.704E-02,2.493E-02,1.259E-02,8.131E-03,4.049E-03,3.043E-03
3.720E-07,5.340E-19,3.189E-02,2.981E-02,3.072E-02,2.635E-02,2.324E-02,1.043E-02,6.885E-03,3.701E-03,7.939E-03
3.730E-07,5.326E-19,3.667E-02,3.068E-02,2.852E-02,2.524E-02,2.012E-02,7.791E-03,5.211E-03,3.357E-03,5.941E-03
3.740E-07,5.311E-19,3.865E-02,3.058E-02,2.914E-02,2.569E-02,2.052E-02,6.911E-03,4.649E-03,2.922E-03,3.947E-03
3.750E-07,5.297E-19,3.212E-02,3.327E-02,3.140E-02,2.766E-02,2.166E-02,8.401E-03,5.405E-03,3.549E-03,2.949E-03
3.760E-07,5.283E-19,4.759E-02,3.362E-02,3.215E-02,2.972E-02,2.285E-02,9.243E-03,6.166E-03,3.549E-03,6.851E-03
3.770E-07,5.269E-19,3.333E-02,3.615E-02,3.253E-02,3.150E-02,2.444E-02,1.161E-02,8.140E-03,4.860E-03,6.887E-03
3.780E-07,5.255E-19,5.371E-02,4.191E-02,3.581E-02,3.078E-02,2.814E-02,1.401E-02,9.331E-03,5.235E-03,5.715E-03
3.790E-07,5.241E-19,5.503E-02,4.076E-02,3.424E-02,3.012E-02,2.619E-02,1.209E-02,7.985E-03,4.762E-03,6.529E-03
3.800E-07,5.227E-19,3.490E-02,3.903E-02,3.331E-02,3.126E-02,2.438E-02,1.032E-02,7.640E-03,4.797E-03,7.255E-03
3.810E-07,5.214E-19,6.311E-02,4.791E-02,3.762E-02,2.820E-02,2.626E-02,1.033E-02,7.043E-03,4.564E-03,5.262E-03
3.820E-07,5.200E-19,7.094E-02,4.997E-02,3.707E-02,2.382E-02,2.243E-02,7.510E-03,5.191E-03,3.680E-03,6.633E-03
3.830E-07,5.187E-19,4.861E-02,3.871E-02,2.902E-02,2.512E-02,1.767E-02,5.714E-03,4.265E-03,3.497E-03,6.830E-03
3.840E-07,5.173E-19,4.046E-02,3.952E-02,2.982E-02,2.945E-02,1.806E-02,6.745E-03,5.278E-03,4.383E-03,7.021E-03
3.850E-07,5.160E-19,7.067E-02,5.216E-02,3.799E-02,3.171E-02,2.267E-02,7.739E-03,5.666E-03,4.601E-03,4.127E-03
3.860E-07,5.146E-19,8.133E-02,6.093E-02,4.132E-02,3.137E-02,2.401E-02,7.366E-03,5.566E-03,4.156E-03,8.759E-03
3.870E-07,5.133E-19,8.038E-02,5.795E-02,4.017E-02,2.966E-02,2.374E-02,7.851E-03,5.653E-03,4.581E-03,1.321E-02
3.880E-07,5.120E-19,6.168E-02,4.410E-02,3.556E-02,2.857E-02,2.348E-02,8.201E-03,5.990E-03,3.341E-03,1.295E-03
3.890E-07,5.107E-19,3.490E-02,3.812E-02,3.174E-02,3.102E-02,2.281E-02,1.009E-02,7.268E-03,4.529E-03,1.273E-03
3.900E-07,5.093E-19,6.109E-02,4.925E-02,3.550E-02,3.310E-02,2.492E-02,1.185E-02,8.179E-03,5.008E-03,8.149E-03
3.910E-07,5.080E-19,8.067E-02,5.949E-02,4.113E-02,2.969E-02,2.741E-02,1.313E-02,8.844E-03,5.132E-03,6.166E-03
3.920E-07,5.067E-19,8.654E-02,5.879E-02,3.995E-02,2.406E-02,2.676E-02,1.289E-02,7.965E-03,4.554E-03,1.152E-02
3.930E-07,5.055E-19,8.536E-02,5.367E-02,2.886E-02,2.568E-02,1.658E-02,9.071E-03,6.571E-03,4.515E-03,7.370E-03
3.940E-07,5.042E-19,8.467E-02,5.542E-02,2.916E-02,3.104E-02,1.635E-02,9.161E-03,6.921E-03,4.867E-03,1.097E-02
3.950E-07,5.029E-19,7.987E-02,5.736E-02,3.999E-02,2.923E-02,2.543E-02,1.335E-02,9.238E-03,4.820E-03,8.962E-03
3.960E-07,5.016E-19,6.243E-02,4.402E-02,3.567E-02,2.596E-02,2.384E-02,1.302E-02,8.566E-03,5.120E-03,8.333E-03
3.970E-07,5.004E-19,3.448E-02,3.673E-02,2.833E-02,3.253E-02,1.794E-02,1.063E-02,7.893E-03,6.292E-03,1.538E-02
3.980E-07,4.991E-19,5.654E-02,4.943E-02,3.797E-02,3.899E-02,2.557E-02,1.606E-02,1.211E-02,7.388E-03,8.539E-03
3.990E-07,4.979E-19,7.623E-02,6.142E-02,4.723E-02,4.005E-02,3.347E-02,2.137E-02,1.477E-02,8.493E-03,1.874E-02
4.000E-07,4.966E-19,8.335E-02,7.015E-02,5.034E-02,4.112E-02,3.571E-02,2.250E-02,1.581E-02,9.124E-03,1.162E-02
4.010E-07,4.954E-19,8.581E-02,7.150E-02,5.144E-02,4.177E-02,3.612E-02,2.374E-02,1.691E-02,9.553E-03,1.924E-02
4.020E-07,4.941E-19,8.641E-02,7.263E-02,5.204E-02,4.153E-02,3.685E-02,2.461E-02,1.744E-02,1.015E-02,1.053E-02
4.030E-07,4.929E-19,8.587E-02,7.403E-02,5.141E-02,4.132E-02,3.661E-02,2.284E-02,1.605E-02,9.686E-03,9.617E-03
4.040E-07,4.917E-19,8.599E-02,7.487E-02,4.945E-02,4.091E-02,3.483E-02,1.991E-02,1.466E-02,9.212E-03,1.206E-02
4.050E-07,4.905E-19,8.475E-02,7.423E-02,4.970E-02,4.137E-02,3.623E-02,2.160E-02,1.600E-02,1.067E-02,9.199E-03
4.060E-07,4.893E-19,8.291E-02,7.287E-02,4.884E-02,4.250E-02,3.496E-02,2.124E-02,1.592E-02,1.053E-02,1.154E-02
4.070E-07,4.881E-19,8.039E-02,6.657E-02,4.798E-02,4.396E-02,3.577E-02,2.009E-02,1.511E-02,1.070E-02,1.331E-02
4.080E-07,4.869E-19,7.551E-02,5.880E-02,4.708E-02,4.272E-02,3.745E-02,2.289E-02,1.728E-02,1.159E-02,1.244E-02
4.090E-07,4.857E-19,6.198E-02,4.761E-02,4.498E-02,3.979E-02,3.839E-02,2.605E-02,2.000E-02,1.258E-02,1.099E-02
4.100E-07,4.845E-19,3.583E-02,4.029E-02,3.952E-02,4.071E-02,3.530E-02,2.516E-02,1.885E-02,1.135E-02,1.114E-02
4.110E-07,4.833E-19,4.822E-02,4.869E-02,4.251E-02,4.222E-02,3.665E-02,2.492E-02,1.897E-02,1.158E-02,9.355E-03
4.120E-07,4.821E-19,6.762E-02,6.074E-02,4.901E-02,4.208E-02,3.922E-02,2.628E-02,1.952E-02,1.217E-02,7.521E-03
4.130E-07,4.810E-19,7.494E-02,6.786E-02,4.966E-02,4.268E-02,3.808E-02,2.449E-02,1.850E-02,1.248E-02,8.650E-03
4.140E-07,4.798E-19,7.873E-02,7.136E-02,5.109E-02,4.325E-02,3.795E-02,2.242E-02,1.724E-02,1.180E-02,1.332E-02
4.150E-07,4.787E-19,7.949E-02,7.038E-02,5.047E-02,4.316E-02,3.831E-02,2.211E-02,1.726E-02,1.239E-02,1.237E-02
4.160E-07,4.775E-19,7.982E-02,7.118E-02,5.060E-02,4.233E-02,3.888E-02,2.356E-02,1.825E-02,1.255E-02,1.503E-02
4.170E-07,4.764E-19,7.919E-02,6.965E-02,4.842E-02,4.176E-02,3.782E-02,2.360E-02,1.808E-02,1.222E-02,1.262E-02
4.180E-07,4.752E-19,7.847E-02,6.843E-02,4.713E-02,4.178E-02,3.628E-02,2.197E-02,1.726E-02,1.213E-02,9.235E-03
4.190E-07,4.741E-19,7.882E-02,7.066E-02,4.877E-02,4.181E-02,3.753E-02,2.241E-02,1.727E-02,1.216E-02,7.874E-03
4.200E-07,4.730E-19,7.796E-02,7.237E-02,4.902E-02,4.222E-02,3.774E-02,2.271E-02,1.747E-02,1.208E-02,7.608E-03
